Year,Brand,Model,Mileage,Price
2024,YAMAHA,MIO I 125,2831,"45,499"
2024,YAMAHA,MIO I 125,15341,"62,741"
2023,YAMAHA,MIO I 125,12175,"62,614"
2023,YAMAHA,MIO I 125S,19015,"47,424"
2022,YAMAHA,MIO I 125S,10769,"41,750"
2023,YAMAHA,Mio Aerox,,"97,422"
2023,YAMAHA,NMAX ABS,14012,"120,157"
2023,YAMAHA,NMAX ABS,9203,"120,157"
2022,HONDA,PCX160 (ABS) ,2442,"99,743"
2024,HONDA,PCX160 (ABS) ,9544,"70,113"
2022,HONDA,PCX160 (ABS) ,25956,"69,650"
2023,HONDA,PCX160 (ABS) ,7447,"118,602"
2023,SUZUKI,Raider R 150 Carburetor,30102,"75,599"
2023,SUZUKI,Raider R 150 Fi,19857,"84,696"
2024,SUZUKI,Raider R 150 Fi,2166,"69,095"
2023,SUZUKI,Raider R 150 Fi,6954,"93,067"
2022,YAMAHA,SNIPER155,8025,"42,318"
2023,YAMAHA,SNIPER155,12266,"77,975"
2023,YAMAHA,SNIPER155R,20559,"103,050"
2023,HONDA,TMX 125A,,"28,248"
2023,HONDA,TMX 125A,10973,"46,285"
2023,HONDA,BEAT FI,17453,"51,598"
2023,HONDA,CLICK 125i,8724,"58,596"
2023,HONDA,CLICK 125i,11488,"48,001"
2023,HONDA,CLICK 125i,28953,"58,596"
2023,HONDA,CLICK 125i,8179,"57,516"
2023,YAMAHA,MIO FAZZIO,9935,"66,995"
2023,YAMAHA,MIO I 125,9101,"45,458"
2022,YAMAHA,MIO SPORTY,5725,"51,948"
2024,SUZUKI,Raider R 150 Fi,2663,"94,234"
2023,HONDA,TMX 125A,24239,"29,265"
2023,HONDA,TMX 125A,13527,"32,486"
2023,HONDA,TMX 125A,6223,"28,426"
2022,SUZUKI,Avenis,20120,"40,501"
2023,SUZUKI,Avenis,20379,"55,881"
2023,HONDA,CLICK 125i,17306,"65,851"
2023,HONDA,CLICK 125i,21884,"57,516"
2023,KYMCO,LIKE 125 ITALIA E3,6021,"33,051"
2022,YAMAHA,MIO GEAR,,"36,474"
2023,YAMAHA,MIO GEAR,17651,"39,503"
2024,YAMAHA,MIO GRAVIS (W/ Y-CONNECT),3120,"75,182"
2023,YAMAHA,MIO SOUL I 125S,9852,"37,720"
2024,SUZUKI,Raider R 150 Fi,10662,"83,874"
2022,SUZUKI,SKYDRIVE CROSSOVER,12549,"47,493"
2022,YAMAHA,SZ,13612,"37,505"
2023,SUZUKI,Avenis,24875,"28,768"
2023,SUZUKI,BURGMAN STREET,23640,"59,616"
2022,SUZUKI,BURGMAN STREET,14433,"20,963"
2023,BAJAJ,Bajaj RE 4s FI ,5343,"154,100"
2024,HONDA,CLICK 125 (STANDARD),6032,"58,300"
2023,HONDA,CLICK 125i,7748,"41,753"
2022,KAWASAKI,CT125 w/ MCP,,"28,666"
2024,HONDA,Click160,5230,"70,917"
2023,YAMAHA,MIO I 125,8311,"45,635"
2022,YAMAHA,MIO I 125,6471,"44,511"
2023,YAMAHA,MIO SPORTY,7280,"39,876"
2022,BENELLI,MOTOBI EVO 200,3472,"58,534"
2023,BENELLI,PANAREA,8463,"36,897"
2023,HONDA,PCX160 (CBS),27008,"77,097"
2022,KAWASAKI,ROUSER NS125 Fi,13412,"27,089"
2020,KYMCO,SUPER 8 150 EURO 3,,"20,235"
2021,HONDA,TMX SUPREMO (TMXS2J),,"19,632"
2024,KAWASAKI,KLX 150,1454,"76,639"
2023,YAMAHA,MIO FAZZIO,7807,"68,744"
2022,YAMAHA,MIO GEAR,,"55,097"
2023,YAMAHA,MIO GEAR,17743,"40,710"
2023,YAMAHA,MIO GEAR,7948,"57,547"
2021,SUZUKI,Raider R 150 Fi,10079,"78,892"
2024,CFMOTO,450SR,373,"234,202"
2024,HONDA,BEAT (ACH110CBFR3),6808,"37,006"
2023,HONDA,BEAT FI,16858,"50,006"
2023,HONDA,CLICK 125i,17664,"63,907"
2023,HONDA,CLICK 125i,3036,"27,611"
2024,HONDA,CLICK 125i,18575,"46,301"
2022,HONDA,CLICK 125i,22721,"50,604"
2023,HONDA,CLICK 125i,15399,"55,891"
2022,HONDA,CLICK 125i,22801,"55,881"
2023,HONDA,CLICK 125i,3279,"63,907"
2023,HONDA,CLICK 125i,12902,"64,607"
2023,HONDA,CLICK 125i,17008,"64,607"
2023,HONDA,CLICK 125i,2496,"63,907"
2023,HONDA,Click160,12950,"69,897"
2023,YAMAHA,MIO AEROX S,3988,"102,377"
2023,YAMAHA,MIO FAZZIO,13312,"53,042"
2023,YAMAHA,MIO GEAR,5160,"62,741"
2024,YAMAHA,MIO GEAR,1628,"56,467"
